list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link
brts stops,UP,CenturyEnka Colony,18.615859,73.847988,Century Enka Colony,,http://maps.google.com/?q=loc:18.615859,73.847988
brts stops,Down,CenturyEnka Colony,18.615904,73.847388,Century Enka Colony,,http://maps.google.com/?q=loc:18.615904,73.847388
brts stops,UP,CenturyEnka Company,18.626833,73.835111,Century Enka Company,,http://maps.google.com/?q=loc:18.626833,73.835111
brts stops,Down,CenturyEnka Company,18.62733,73.834818,Century Enka Company,,http://maps.google.com/?q=loc:18.62733,73.834818
brts stops,UP,Chandannagar,18.563342,73.932965,Chandannagar,,http://maps.google.com/?q=loc:18.5633419999998,73.9329650000003
brts stops,Down,Chandannagar,18.563342,73.932965,Chandannagar,,http://maps.google.com/?q=loc:18.5633419999998,73.9329650000003
brts stops,UP,Chaphekar Chowk,18.630113,73.779302,Chaphekar Chowk,,http://maps.google.com/?q=loc:18.630113,73.779302
brts stops,Down,Chaphekar Chowk,18.62839,73.780308,Chaphekar Chowk,,http://maps.google.com/?q=loc:18.62839,73.780308
brts stops,UP,Chatuhshrungi Paytha,18.5393422,73.8297355,Chatuhshrungi Paytha,,http://maps.google.com/?q=loc:18.5393422,73.8297355
brts stops,Down,Chatuhshrungi Paytha,18.539861,73.829854,Chatuhshrungi Paytha,,http://maps.google.com/?q=loc:18.539861,73.829854
brts stops,UP,Chinchwad Station,18.6397953,73.7939696,Chinchwad Station,,http://maps.google.com/?q=loc:18.6397953,73.7939696
brts stops,Down,Chinchwad Station,18.638225,73.795849,Chinchwad Station,,http://maps.google.com/?q=loc:18.638225,73.795849
brts stops,UP,Chinchwadgaon,18.627841,73.782584,Chinchwadgaon,,http://maps.google.com/?q=loc:18.627841,73.782584
brts stops,Down,Chinchwadgaon,18.627568,73.782086,Chinchwadgaon,,http://maps.google.com/?q=loc:18.627568,73.782086
brts stops,UP,Chitrashala,18.513118,73.846995,Chitrashala,,http://maps.google.com/?q=loc:18.513118,73.846995
brts stops,UP,CIRT,18.6142,73.82476,CIRT,,http://maps.google.com/?q=loc:18.6142,73.82476
brts stops,Down,CIRT,18.614216,73.824469,CIRT,,http://maps.google.com/?q=loc:18.614216,73.824469
brts stops,Down,City Post,18.51577,73.856819,City Post,,http://maps.google.com/?q=loc:18.51577,73.856819
brts stops,Down,COEP Hostel,18.528638,73.852335,COEP Hostel,,http://maps.google.com/?q=loc:18.5286380000002,73.8523350000004
brts stops,UP,Collector Kacheri,18.524428,73.871644,Collector Kacheri,,http://maps.google.com/?q=loc:18.524428,73.871644
brts stops,Down,Collector Kacheri,18.524797,73.871778,Collector Kacheri,,http://maps.google.com/?q=loc:18.524797,73.871778
brts stops,Down,Common Wealth,18.514033,73.84917,Common Wealth,,http://maps.google.com/?q=loc:18.514033,73.84917
brts stops,UP,Corporation Bank,18.565117,73.911456,Corporation Bank,,http://maps.google.com/?q=loc:18.565117,73.911456
brts stops,Down,Corporation Bank,18.56207,73.911528,Corporation Bank,,http://maps.google.com/?q=loc:18.56207,73.911528
brts stops,Down,Dagadi Nagoba,18.518375,73.86164,Dagadi Nagoba,,http://maps.google.com/?q=loc:18.518375,73.86164
brts stops,UP,Dairy Farm,18.621252,73.760226,Dairy Farm,,http://maps.google.com/?q=loc:18.621252,73.7602259999999
brts stops,Down,Dairy Farm,18.621439,73.760502,Dairy Farm,,http://maps.google.com/?q=loc:18.6214389999998,73.7605020000003
brts stops,UP,Dakshinmukhi Maruti,18.518276,73.85397,Dakshinmukhi Maruti,,http://maps.google.com/?q=loc:18.518276,73.85397
brts stops,UP,Dandekar Pul,18.501333,73.847038,Dandekar Pul,,http://maps.google.com/?q=loc:18.501333,73.847038
brts stops,Down,Dandekar Pul,18.501145,73.846516,Dandekar Pul,,http://maps.google.com/?q=loc:18.501145,73.846516
brts stops,UP,Dange Chowk,18.614509,73.765934,Dange Chowk,,http://maps.google.com/?q=loc:18.614509,73.7659340000003
brts stops,Down,Dange Chowk,18.614648,73.766066,Dange Chowk,,http://maps.google.com/?q=loc:18.6146479999997,73.7660659999995
brts stops,UP,Dapodi,18.581448,73.834119,Dapodi,,http://maps.google.com/?q=loc:18.581448,73.834119
brts stops,Down,Dapodi,18.581448,73.834119,Dapodi,,http://maps.google.com/?q=loc:18.581448,73.834119
brts stops,UP,Date Stop,18.480146,73.850276,Date Stop,,http://maps.google.com/?q=loc:18.480146,73.850276
brts stops,Down,Date Stop,18.478586,73.850699,Date Stop,,http://maps.google.com/?q=loc:18.478586,73.850699
brts stops,UP,Dattamandir Vimannagar,18.565472,73.914011,Dattamandir Vimannagar,,http://maps.google.com/?q=loc:18.565472,73.914011
