,list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link,Unnamed: 8,UID_new
293,brts stops,Down,Gangapuram Mhada,18.567714000000002,73.910939,Gangapuram Mhada,,http://maps.google.com/?q=loc:18.567714,73.910939,GANMHA1
294,brts stops,Down,Ganpati Chowk Laxmi Road,18.514957,73.854801,Ganpati Chowk Laxmi Road,,http://maps.google.com/?q=loc:18.514957,73.854801,GACHLARO1
295,brts stops,UP,Garmal,18.457268,73.81173199999999,Garmal,,http://maps.google.com/?q=loc:18.457268,73.81173199999999,GAR1
296,brts stops,Down,Garmal,18.45744,73.811808,Garmal,,http://maps.google.com/?q=loc:18.45744,73.811808,GARM1
297,brts stops,UP,Garware college,18.512376999999997,73.83864799999999,Garware College,,http://maps.google.com/?q=loc:18.5123769999999,73.83864799999999,GACO1
298,brts stops,Down,Garware college,18.512053,73.838262,Garware College,,http://maps.google.com/?q=loc:18.512053,73.838262,GARCOL1
299,brts stops,UP,Gavli Matha,18.637065,73.825797,Gavali Matha,,http://maps.google.com/?q=loc:18.637065,73.825797,GAVMAT1
300,brts stops,Down,Gavli Matha,18.637073,73.826009,Gavali Matha,,http://maps.google.com/?q=loc:18.637073,73.826009,
301,brts stops,UP,Gavhanevasti Bhosari,18.620465,73.849228,Gavhanevasti Bhosari,,http://maps.google.com/?q=loc:18.620465,73.849228,GABH1
302,brts stops,Down,Geometric,18.593441000000002,73.73245,Geometric,,http://maps.google.com/?q=loc:18.593441,73.73245,GEO1
303,brts stops,UP,Gharkul Corner,18.665805,73.805652,Gharkul Corner,,http://maps.google.com/?q=loc:18.665805,73.805652,GHCO1
304,brts stops,Down,Gharkul Corner,18.665654999999997,73.805891,Gharkul Corner,,http://maps.google.com/?q=loc:18.665655,73.805891,GHACOR1
305,brts stops,UP,Gharkul Vasahat Chikhali,18.669097,73.806195,Gharkul Vasahat Chikhali,,http://maps.google.com/?q=loc:18.669097,73.806195,GHVACH1
306,brts stops,Down,Gharkul Vasahat Chikhali,18.669547,73.80635699999999,Gharkul Vasahat Chikhali,,http://maps.google.com/?q=loc:18.669547,73.80635699999999,GHAVASCHI1
307,brts stops,UP,Ghorpade Peth,18.500038,73.86487,Ghorpade Peth,,http://maps.google.com/?q=loc:18.500038,73.86487,GHPE1
308,brts stops,Down,Ghorpade Peth,18.500768,73.864075,Ghorpade Peth,,http://maps.google.com/?q=loc:18.500768,73.864075,GHOPET1
309,brts stops,Down,Ghorpadi Peth,18.500768,73.864075,Ghorpade Peth,,http://maps.google.com/?q=loc:18.500768,73.864075,
310,brts stops,UP,Giridhar Bhavan,18.492908,73.868842,Giridhar Bhavan,,http://maps.google.com/?q=loc:18.492908,73.868842,GIBH1
311,brts stops,Down,Girls School,18.516257999999997,73.850995,Girls School,,http://maps.google.com/?q=loc:18.516258,73.850995,GISC1
312,brts stops,UP,Godown Talegaon Dhamdhere,18.665761,74.15371999999999,Godown Talegaon Dhamdhere,,http://maps.google.com/?q=loc:18.665761,74.15371999999999,GOTADH1
313,brts stops,Down,Godown Talegaon Dhamdhere,18.665761,74.15371999999999,Godown Talegaon Dhamdhere,,http://maps.google.com/?q=loc:18.665761,74.15371999999999,GODTALDHA1
314,brts stops,UP,Godown Talera,18.576234,73.964218,Godown Talera,,http://maps.google.com/?q=loc:18.576234,73.964218,GOTA1
315,brts stops,Down,Godown Talera,18.576076999999998,73.963982,Godown Talera,,http://maps.google.com/?q=loc:18.576077,73.963982,GODTAL1
316,brts stops,Down,Gokhale Hall,18.514288,73.851612,Gokhale Hall,,http://maps.google.com/?q=loc:18.514288,73.851612,GOHA1
317,brts stops,Down,Gokul Bhavan,18.501725,73.858564,Gokul Bhavan,,http://maps.google.com/?q=loc:18.501725,73.858564,GOBH1
318,brts stops,UP,Gol Market Aundh Road,18.5511,73.821632,Gol Market Aundh Road,,http://maps.google.com/?q=loc:18.5511,73.821632,GOMAAURO1
319,brts stops,Down,Gol Market Aundh Road,18.551838,73.818967,Gol Market Aundh Road,,http://maps.google.com/?q=loc:18.551838,73.818967,GOLMARAUNROA1
320,brts stops,UP,Golibar Maidan,18.502523999999998,73.877153,Golibar Maidan,,http://maps.google.com/?q=loc:18.502524,73.877153,GOMA1
321,brts stops,Down,Golibar Maidan,18.502116,73.875946,Golibar Maidan,,http://maps.google.com/?q=loc:18.502116,73.875946,GOLMAI1
322,brts stops,UP,Gondhalenagar,18.493831,73.94698299999999,Gondhalenagar,,http://maps.google.com/?q=loc:18.493831,73.94698299999999,GON1
323,brts stops,Down,Gondhalenagar,18.494792999999998,73.94599000000001,Gondhalenagar,,http://maps.google.com/?q=loc:18.494793,73.94599000000001,GOND1
324,brts stops,UP,Goodluck Chowk,18.518744,73.841398,Goodluck Chowk,,http://maps.google.com/?q=loc:18.518744,73.841398,GOCH1
325,brts stops,UP,Govind Yashada Chowk,18.596773000000002,73.802083,Govind Yashada Chowk,,http://maps.google.com/?q=loc:18.596773,73.802083,GOYACH1
326,brts stops,Down,Govind Yashada Chowk,18.597068,73.80229200000001,Govind Yashada Chowk,,http://maps.google.com/?q=loc:18.597068,73.80229200000001,GOVYASCHO1
