Sr.,Direction,Stop Name,Name-en-normalized,UID
369,DOWN,Bhairavnagar Pimplegurav,Bhairavnagar Pimplegurav,
370,UP,Bhairavnath Mandir Chande,Bhairavnath Mandir Chande,
371,DOWN,Bhairavnath Mandir Chande,Bhairavnath Mandir Chande,
372,UP,Bhairoba Nala Police Chowky,Bhairoba Nala Police Chowky,
373,DOWN,Bhairoba Nala Police Chowky,Bhairoba Nala Police Chowky,
374,UP,Bhairoba Pumping Station,Bhairoba Pumping Station,
375,DOWN,Bhairoba Pumping Station,Bhairoba Pumping Station,
376,UP,Bhaji Mandai Hadapsar,Bhaji Mandai Hadapsar,
377,DOWN,Bhaji Mandai Hadapsar,Bhaji Mandai Hadapsar,
378,UP,Bhaji Market,Bhaji Market,
379,DOWN,Bhaji Market,Bhaji Market,
380,UP,Bhakti Shakti,Bhakti Shakti,
381,DOWN,Bhakti Shakti,Bhakti Shakti,
382,UP,Bham,Bham,
383,DOWN,Bham,Bham,
384,UP,Bhandara Dongar Paytha,Bhandara Dongar Paytha,
385,DOWN,Bhandara Dongar Paytha,Bhandara Dongar Paytha,
386,UP,Bhandari Company,Bhandari Company,
387,DOWN,Bhandari Company,Bhandari Company,
388,UP,Bhandari Hospital,Bhandari Hospital,
389,DOWN,Bhandari Hospital,Bhandari Hospital,
390,UP,Bhandari Niwas,Bhandari Niwas,
391,DOWN,Bhandari Niwas,Bhandari Niwas,
392,UP,Bhandarkar Institute,Bhandarkar Institute,
393,DOWN,Bhandarkar Institute,Bhandarkar Institute,
394,UP,Bhandarkar Road,Bhandarkar Road,
395,DOWN,Bhandarkar Road,Bhandarkar Road,
396,UP,Bhansali Complex,Bhansali Complex,
397,DOWN,Bhansali Complex,Bhansali Complex,
398,UP,Bhapkar Petrol Pump,Bhapkar Petrol Pump,
399,DOWN,Bhapkar Petrol Pump,Bhapkar Petrol Pump,
400,UP,Bharat Ele Company,Bharat Ele Company,
401,DOWN,Bharat Ele Company,Bharat Ele Company,
402,UP,Bharat English School,Bharat English School,
403,DOWN,Bharat English School,Bharat English School,
404,UP,Bharat Forge Company,Bharat Forge Company,
405,DOWN,Bharat Forge Company,Bharat Forge Company,
406,UP,Bharat Jyoti,Bharat Jyoti,
407,DOWN,Bharat Jyoti,Bharat Jyoti,
408,UP,Bharati Vidyapeeth,Bharati Vidyapeeth,
409,DOWN,Bharati Vidyapeeth,Bharati Vidyapeeth,
410,UP,Bharati Vidyapeeth Gate,Bharati Vidyapeeth Gate,
411,DOWN,Bharati Vidyapeeth Gate,Bharati Vidyapeeth Gate,
412,UP,Bharati Vidyapeeth Hostel,Bharati Vidyapeeth Hostel,
413,UP,Bharati Vidyapeeth Shala,Bharati Vidyapeeth Shala,
414,DOWN,Bharati Vidyapeeth Shala,Bharati Vidyapeeth Shala,
415,UP,Bharatinagar,Bharatinagar,
416,DOWN,Bharatinagar,Bharatinagar,
417,UP,Bhare Phata,Bhare Phata,
418,DOWN,Bhare Phata,Bhare Phata,
419,UP,Bhargaon Industries,Bhargaon Industries,
420,DOWN,Bhargaon Industries,Bhargaon Industries,
421,UP,Bhatnagar,Bhatnagar,
422,DOWN,Bhatnagar,Bhatnagar,
423,UP,Bhau Patil Chowk,Bhau Patil Chowk,
424,DOWN,Bhau Patil Chowk,Bhau Patil Chowk,
425,UP,Bhegde Lawns,Bhegde Lawns,
426,UP,Bhegdewadi,Bhegdewadi,
427,DOWN,Bhegdewadi,Bhegdewadi,
428,UP,Bhegdewadi Phata,Bhegdewadi Phata,
429,UP,Begdewadi Phata,Bhegdewadi Phata,
430,DOWN,Bhegdewadi Phata,Bhegdewadi Phata,
431,DOWN,Begdewadi Phata,Bhegdewadi Phata,
432,UP,Bhekrainagar,Bhekrainagar,
433,DOWN,Bhekrainagar,Bhekrainagar,
434,UP,Bhikardas Maruti,Bhikardas Maruti,
435,DOWN,Bhikardas Maruti,Bhikardas Maruti,
436,UP,Bhilarewadi,Bhilarewadi,
437,DOWN,Bhilarewadi,Bhilarewadi,
438,UP,Bhilarewadi Kalyan,Bhilarewadi Kalyan,
439,DOWN,Bhilarewadi Kalyan,Bhilarewadi Kalyan,
440,UP,Bhimnagar,Bhimnagar,
441,DOWN,Bhimnagar,Bhimnagar,
442,UP,Bhoirnagar,Bhoirnagar,
443,DOWN,Bhoirnagar,Bhoirnagar,
444,UP,Bhondvevasti Nagar Road,Bhondvevasti Nagar Road,
445,DOWN,Bhondvevasti Nagar Road,Bhondvevasti Nagar Road,
446,UP,Bhosale Garden Saswad Road,Bhosale Garden Saswad Road,
447,DOWN,Bhosale Garden Saswad Road,Bhosale Garden Saswad Road,
448,UP,Bhosale Petrol Pump,Bhosale Petrol Pump,
449,DOWN,Bhosale Petrol Pump,Bhosale Petrol Pump,
450,UP,Bhosalevasti Nagar Road,Bhosalevasti Nagar Road,
451,DOWN,Bhosalevasti Nagar Road,Bhosalevasti Nagar Road,
452,UP,Bhosalevasti Uruli Kanchan,Bhosalevasti Uruli Kanchan,
453,DOWN,Bhosalevasti Uruli Kanchan,Bhosalevasti Uruli Kanchan,
454,UP,Bhosari,Bhosari,
455,DOWN,Bhosari,Bhosari,
456,UP,PMT Chowk Bhosari,Bhosari PMT Chowk,
457,UP,Bhosari PMT Chowk,Bhosari PMT Chowk,
458,DOWN,PMT Chowk Bhosari,Bhosari PMT Chowk,
459,DOWN,Bhosari PMT Chowk,Bhosari PMT Chowk,
460,UP,Bhosari Police Station,Bhosari Police Station,
461,DOWN,Bhosari Police Station,Bhosari Police Station,
462,UP,Bhosari Terminal,Bhosari Terminal,
463,DOWN,Bhosari Terminal,Bhosari Terminal,
464,UP,Bhugaon,Bhugaon,
465,DOWN,Bhugaon,Bhugaon,
466,UP,Bhukum,Bhukum,
467,DOWN,Bhukum,Bhukum,
468,UP,Bhukum Ashram,Bhukum Ashram,
469,DOWN,Bhukum Ashram,Bhukum Ashram,
470,UP,Bhumkar Chowk,Bhumkar Chowk,
471,DOWN,Bhumkar Chowk,Bhumkar Chowk,
472,UP,Bhumkarnagar,Bhumkarnagar,
473,DOWN,Bhumkarnagar,Bhumkarnagar,
474,UP,Bhumkarnagar complex,Bhumkarnagar complex,
475,DOWN,Bhumkarnagar complex,Bhumkarnagar complex,
476,UP,Bhumkarvasti,Bhumkarvasti,
477,DOWN,Bhumkarvasti,Bhumkarvasti,
478,UP,Bhushan Society,Bhushan Society,
479,DOWN,Bhushan Society,Bhushan Society,
480,UP,Bibvewadi,Bibvewadi,
481,DOWN,Bibvewadi,Bibvewadi,
482,UP,Big India,Big India,
483,DOWN,Big India,Big India,
484,UP,Bijalinagar,Bijalinagar,
485,DOWN,Bijalinagar,Bijalinagar,
486,UP,Bijalinagar Corner,Bijalinagar Corner,
487,DOWN,Bijalinagar Corner,Bijalinagar Corner,
488,UP,Binavat Township,Binavat Township,
489,DOWN,Binavat Township,Binavat Township,
490,UP,Bird Valley,Bird Valley,
491,DOWN,Bird Valley,Bird Valley,
492,UP,Birla Hospital,Birla Hospital,
493,DOWN,Birla Hospital,Birla Hospital,
494,UP,Bitevasti,Bitevasti,
495,DOWN,Bitevasti,Bitevasti,
496,UP,Blue Diamond Hotel,Blue Diamond Hotel,
497,DOWN,Blue Diamond Hotel,Blue Diamond Hotel,
498,UP,Bob International School,Bob International School,
499,DOWN,Bob International School,Bob International School,
500,UP,Bodygate,Bodygate,
501,DOWN,Bodygate,Bodygate,
502,UP,Bombay Garage,Bombay Garage,
503,DOWN,Bombay Garage,Bombay Garage,
504,UP,Bopkhel,Bopkhel,
505,DOWN,Bopkhel,Bopkhel,
506,UP,Bopodi,Bopodi,
507,DOWN,Bopodi,Bopodi,
508,UP,Bopodigaon,Bopodigaon,
509,DOWN,Bopodigaon,Bopodigaon,
510,UP,Boratevasti Chikhali Road,Boratevasti Chikhali Road,
511,DOWN,Boratevasti Chikhali Road,Boratevasti Chikhali Road,
